source_id,source,opus_id,日期,章节,问题,答案,卡号,起止行
1106492573155852293-11,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,卡组检查,Q：（卡组检查第4条）,"A：卡套若存在某种可循的规律性标记，将被视为标记卡牌,等同于严重的作嫌疑，会受到单局败北及以上的判罚。",,40-40
1106492573155852293-12,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,卡组检查,Q：（卡组检查第5条）,A：卡套应符合公序良俗，选手若使用包含淫，暴力等内容的卡套图案，将会受到警告及以上的判罚。,,41-41
1106492573155852293-13,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,卡组检查,Q：（卡组检查第6条）,A：在选手错误导致的情况下，裁判组不予制作代卡。,,42-42
1106492573155852293-14,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【幻梦之树】,A：【幻梦之树】的技能会在其中的友方单位被自已的法术进行自标选择时触发并添加至结算链，即使该法术被无效化也不会影响【幻梦之树】技能的结算。,OGN-292,59-71
1106492573155852293-15,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【冥想】,A：选择休眠幻梦之树中的友方单位是【冥想】的额外可选费用，不是目标选择，不会触发幻梦之树的技能，不抽牌。,OGN-048,59-71
1106492573155852293-16,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【清理门户】,A：无论哪方使用【清理门户】，都不会触发幻梦之树的技能，因为【清理门户】没有目标选择，不抽牌。,OGN-209,59-71
1106492573155852293-17,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【控潮者】,A：打出【控潮者】时进行目标选择，【幻梦之树】的技能不会触发，因为这是一个技能，不抽牌。,OGN-199、OGN-292,59-71
1106492573155852293-18,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【星落】【艾卡西亚暴雨】,"A：上述法术产生的触发式技能选择自已在【幻梦之树】中的单位，也不抽牌,因为这是触发式技能的目标选择，不是法术的自标选择。",OGN-029、OGN-248、OGN-292,59-71
1106492573155852293-19,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【艾卡西亚暴雨】【星落】和【星芒凝汇】分别是怎么结算的？ 【艾卡西亚暴雨】和【星落】,"A：在使用时不需要立刻选择目标,双方选手可以打出反应。结算时产生触发式技能,玩家此时选择目标(每个触发式技能单独选择自标、每个触发式技能单独计算法盾费用)，效果添加至结算链(玩家自已排列添加至结算链的顺序，倒序结算）。每结算完一个触发式技能，都会有一次清理。清理之后，双方选手可以在下一个触发式技能结算前继续往结算链中添加效果。",OGN-248、OGN-029、OGN-105,72-80
1106492573155852293-20,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【艾卡西亚暴雨】【星落】和【星芒凝汇】分别是怎么结算的？ 【星芒凝汇】,A：在使用时，需要同时选择至多两个单位作为目标，双方选手在【星芒凝汇】结算前可以打出反应。结算完【星芒凝汇】后，2个单位在同一个清理时点被同时摧毁。,OGN-248、OGN-029、OGN-105,72-80
1106492573155852293-21,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：（常见问题与解答第3条）,"A：受到多种效果影响的单位(如千尾监视者/烟幕弹/九尾妖狐等)战力如何计算?
参考官方FAQ，秉持先加后减原则。",,81-82
1106492573155852293-22,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【中娅沙漏】作为待命牌被翻开后，能否被反应？,A：【中娅沙漏】作为常驻牌，其打出行为无法被反应。,OGN-077,98-110
1106492573155852293-23,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：某单位即将被摧毁时，【中娅沙漏】是否必定发动?,A：【中娅沙漏】的效果在满足条件时必定发动。,OGN-077,98-110
1106492573155852293-24,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：战场A的【中娅沙漏】可以替代战场B中即将被摧毁的单位吗？,A：可以。,OGN-077,98-110
1106492573155852293-25,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【艾卡西亚暴雨】是否可以再次摧毁【中娅沙漏】替代摧毁的单位？,"A：是的,玩家如果多次选择了同一个目标且伤害足够，这个单位会再次被【艾卡西亚暴雨】摧毁。",OGN-248、OGN-077,98-110
1106492573155852293-26,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：同一场战斗伤害分配中多个单位被摧毁，【中娅沙漏】会替代哪个单位被摧毁?,A：多个单位同时被摧毁时，由【中娅沙漏】的控制者自选被替代摧毁的单位。,OGN-077,98-110
1106492573155852293-27,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：被【中娅沙漏】替代摧毁的单位是否保留其增益与战力加减状态?,A：保留。【中娅沙漏】替代了单位的摧毁，单位本身没有被摧毁过。所以上述全部保留。,OGN-077,98-110
1106492573155852293-28,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,"Q：【暗刃】的自标如果不处于战场或已被摧毁,应如何处理？",A：【暗刃】失去目标，结算后不会摧毁该单位，也不会抽牌。,OGN-213,111-115
1106492573155852293-29,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【暗刃】的自标如果被【中娅沙漏】沙漏替代摧毁，自标单位控制者是否还可以抽牌？,A：可以,OGN-213、OGN-077,111-115
1106492573155852293-30,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【坚毅不倒】不能防什么？,A：无法防止来自【食肉蛇藤】【决斗】【猛龙摆尾】【狂风绝息斩】的伤害。,OGN-145、OGN-149、OGN-128、OGN-258、OGN-260,132-133
1106492573155852293-31,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：完成征服时，单位的征服时技能和战场的征服时技能，谁先触发？,"A：同时点、同一控制者的效果由控制者自排触发顺序。
同时点、不同控制者的触发效果，按照回合顺序，回合玩家控制的先触发。",,134-136
1106492573155852293-32,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：假设我有名4战力单位，已受到3点伤害，此时对手打出【烟幕弹】／【“敲”诈】，它是否会被摧毁？,A：会。,OGN-093、OGN-095,137-138
1106492573155852293-33,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【食肉蛇藤】的技能选中的单位因某个效果被移除出战场，【食肉蛇藤】是否还会与该单位相互造成伤害？,A：不会。,OGN-149,139-140
1106492573155852293-34,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【虚空之女】的技能是否可以用于支付打出法术时的法盾费用？,A：可以。,OGN-247,141-142
1106492573155852293-35,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：若我的法术被对方使用【蔑视】/【风之障壁】等无效化，是否仍算打出卡牌?,"A：不算。若你打出的法术被无效化，视为没有打出：【拉文布鲁姆学生】不被触发,鼓舞也不会生效。",OGN-045、OGN-064、OGN-103,143-144
1106492573155852293-36,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：符文是否可以提前横置操作?,A：可以。,,145-146
1106492573155852293-37,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：对方瞬息触发时，我是否可以打出反应？,A：可以,,147-152
1106492573155852293-38,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：拥有瞬息的【精灵】的瞬息效果被触发时，此战场中只有【精灵】一个单位，此处的待命牌(如【爆裂球果仙灵】）是否可以被打出？,A：可以，瞬息是触发式技能。,OGN-274、UNL-T07、OGN-097,147-152
1106492573155852293-39,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：此场地的效果是否包括了非标准的移动？,A：包括，所有移动均无法将基地作为目的地。,,169-171
1106492573155852293-40,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【德莱厄斯（崔法利）】,"A：②当这张牌作为本回合被我打出的第三张牌时,它是否可触发活跃及+2战力效果？
A:①可以。
②不可以。",OGN-027,172-175
1106492573155852293-41,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【烈阳徽记】,"A：Q【烈阳徽记】会召回场上的所有单位吗？
A：不会,仅召回本次战斗中的所有单位。",OGN-227,176-178
1106492573155852293-42,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：针对随从，是在打出时选择位置，还是在结算时选择位置？,A：结算时。打出位置是打出随从时的选择，不是法术效果的选择。,,179-181
1106492573155852293-43,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：在此游戏模式中，A与B发生战斗，C是否可以使用【天顶之刃】在此战场打入自已的单位？,A：不可以。,OGN-262,182-184
1106492573155852293-44,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,"Q：某单位进入一处开放战场,是否会开启法术对决",A：会。,,185-187
1106492573155852293-45,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：个已经被眩晕的单位，再次被指定为眩晕自标时，【曙光女神】的技能是否可以再次给予友方单位增益?,A：不可以。已经被眩晕的单位不可以再被眩晕。,OGN-261,188-191
1106492573155852293-46,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：我打出的【虚空索敌】的目标离开战场(如【闪现】等效果)，我是否可以抽牌？,A：可以。,OGN-024、OGS-011,209-215
1106492573155852293-47,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：我的【虚空索敌】被无效化后，我是否可以抽牌？,A：不可以。,OGN-024,209-215
1106492573155852293-48,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：在对方已打出【坚毅不倒】的情况下，我打出【虚空索敌】，我是否可以抽牌?,A：可以。,OGN-145、OGN-024,209-215
1106492573155852293-49,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：【祖安地沟】,A：可以。,OGN-298,216-217
1106492573155852293-50,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：我使用【暴走萝莉】卡组，当我征服了【祖安地沟】时，我的废牌堆中有【超究极死神飞弹！】，我是否可以自已排序触发技能先因【祖安地沟】弃置张手牌且抽一张牌后，再弃置因【祖安地沟】抽取的这张牌，让【超究极死神飞弹！】返回我的手牌？,A：可以。,FND-251、OGN-251、OGN-298、OGN-252,218-222
1106492573155852293-51,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：场上只有一方有单位，是否可以打出【清理门户】?若双方都没有单位呢？,A：可以。【清理门户】不做目标选择，故双方是否有单位不影响这张牌的打出。即使场上没有单位，也可以打出【清理门户】,OGN-209,223-225
1106492573155852293-52,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：若我选择摧毁此装备，是否可以从废牌堆中再将它回收？,A：可以。,,226-228
1106492573155852293-53,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：在对方的回合中，我是否可以作为防守方通过控制开放战场得分?,A：可以。,,229-231
1106492573155852293-54,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,"Q：我通过横置【奥术先驱】打出1名随从,是否可以触发鼓舞?",A：不可以。鼓舞要求打出卡牌，随从不属于卡牌。,FND-265、OGN-265,249-251
1106492573155852293-55,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：战斗中没有防守方单位后，进攻方的强攻是否仍然生效？,A：生效。,,252-254
1106492573155852293-56,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,"Q：若我打出闪耀极光后，直到翻至主牌堆最底部的一张卡牌也没有翻出单位卡牌,是否触发燃尽？",A：不触发。,,255-257
1106492573155852293-57,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：我打出此牌时，是否可以只抽牌，不选择摧毁装备？,A：可以。,,258-260
1106492573155852293-58,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：在战斗中打出的【顺劈】赋予的强攻3在何时生效？,A：在【顺劈】结算后的清理阶段生效。,OGN-004,261-263
1106492573155852293-59,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,常见问题与解答,Q：我打出此牌时，是否算作打出强力单位？,A：不算。,,264-266
1108988045816758312-01,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,赛事处罚,Q：遗漏触发,A：根据规则，选手多次遗漏同一条件的触发效果，将视为二般错误，受到警告判罚。,,14-15
1108988045816758312-02,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,赛事处罚,Q：游戏开始时没有放置选定英雄,"A：北京赛中，依然存在选手没有放置选定英雄的错误。我们再次提醒，遗忘放置选定英雄是
一个较为容易发现的游戏流程错
误，相关信息的缺失会导致比赛公平性受到影响。对局开始超过一回合时，任意选手声明某选手的选定英雄区没有放置卡
牌，裁判组将会裁定为单局败北。对手也将受到警告判罚。",,16-20
1108988045816758312-03,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,卡组检查,Q：（卡组检查）,"A：卡组检查时，选手备牌应为清晰的0或8张。若选手提交备牌至裁判时存在8张以外的卡牌，或从多于8张的卡牌中挑选
出8张备牌，将视为卡组卡表不一致。裁判组将根据情节严重程度给与单局败北及以上的判罚。
2．卡组检查时，选手卡表中没有备牌，但实际卡组中存在备牌的情况，裁判组将根据情节严重程度给与单局败北及以上的
判罚。且选手无法在本次比赛中使用备牌。若此情况多次发生，裁判组将视为作弊行为，给予取消比赛资格及以上的判
罚。",,0-0
1108988045816758312-04,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,赛事组温馨提示,Q：（赛事组温馨提示第2条）,"A：选手完成比赛核销后，将无法更改卡表内容。请选手在参赛前仔细核对填报的卡表信息与将在赛会中使用的卡组一致
另外，修改比赛卡表的功能在官方小程序“我的活动”中，请注意修改卡表后需要再次上传活动卡组，不要因此导致比赛
受到影响。

淘汰赛和直播桌区域除当前比赛选手和工作人员外，其他人员需要保持距离,否则将可能受到判罚。严禁在赛场中记录",,31-32
1108988045816758312-05,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,赛事组温馨提示,Q：（赛事组温馨提示第3条）,"A：拍摄、传播选手卡表、战术等信息,如有违规将可能导致严重判罚。
选手晋级16强后，每场对局都会有裁判1对1监督比赛全程。",,33-35
1108988045816758312-06,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,赛事组温馨提示,Q：（赛事组温馨提示第5条）,"A：时间。如不需要参与颁奖仪式，可向现场工作人员提出，完成离场手续后选手可自由行动。
赛季区域公开赛南部赛区（广州）赛后的相关判例也已于BiliBili符文战场官方账号和符文战场官方小程序",,36-51
1108988045816758312-07,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,常见问题与解答,Q：【天声震落】的效果结算与移动会中存在几次清理？,A：一次，在【天声震落】全部效果结算完成后执行。,OGN-250,54-56
1108988045816758312-08,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,常见问题与解答,Q：【沃利贝尔（雄浑巨力）】不在战场时，其技能能否被触发？,A：不能。,OGN-158,57-63
1108988045816758312-09,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,常见问题与解答,Q：我方【沃利贝尔（雄浑巨力）】在战场A时，对手将3个单位一起移动至战场B，我方抽几张牌？,A：一张。,OGN-158,57-63
1108988045816758312-10,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,常见问题与解答,Q：我方【沃利贝尔（雄浑巨力）】在战场A时，对手将3个单位分别移动至战场B，我方抽几张牌?,A：三张。,OGN-158,57-63
1108988045816758312-11,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,常见问题与解答,Q：当前不存在战斗，对手移动单位进入空战场时，我能否打出加农炮幕。,A：可以，但不会造成实际效果。,,64-66
1108988045816758312-12,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,常见问题与解答,"Q：当我打出【大副】时,场上只存在对手的【奇亚娜（所向披靡）】，我是否必须选择将【奇亚娜（所向披靡）】活跃，并在选择时支付法盾费用？","A：是的。
【奇亚娜（所向披靡）】",OGN-132、OGN-155,67-71
1108988045816758312-13,第一赛季区域公开赛-北京站赛后判例,1108988045816758312,2025-09-05,常见问题与解答,Q：奇亚娜的“当我征服一处战场时”效果，抽牌与召出休眠符文的选择，是在触发时进行，还是在结算时进行？,A：结算时。,,72-74
1111662951442415632-01,第一赛季区域公开赛-重庆站赛后判例,1111662951442415632,2025-09-12,卡组检查,Q：（卡组检查）,"A：重庆赛中，依然出现了玩家放置比赛卡组的同空间中存在卡组表以外卡牌的情况。我们再次提醒，卡组检查时，选手备卡
应为清晰的0或8张。若选手提交备卡至裁判时存在8张以外的卡牌，或从多于8张的卡牌中挑选出8张备卡，将视为卡组卡
表不一致。裁判组将根据情节严重程度给予单局败北及以上的判罚。",,0-0
1111662951442415632-02,第一赛季区域公开赛-重庆站赛后判例,1111662951442415632,2025-09-12,赛事组温馨提示,Q：（赛事组温馨提示第2条）,"A：回合开始的标准顺序为，唤醒阶段，开始阶段(包含回合开始时触发的效果、据守得分及据守时触发的效果），召出阶段
抽牌阶段。当玩家召出符文时，将默认为开始阶段被跳过，这可能导致游戏错误，请玩家们留意。
选手完成比赛核销后，将无法更改卡表内容。请选手在参赛前仔细核对填报的卡表信息与将在赛会中使用的卡组一致。

另外，修改比赛卡表的功能在官方小程序“我的活动”中，请注意修改卡表后需要再次上传活动卡组，不要因此导致比赛
受到影响。
赛季区域公开赛南部赛区（广州）、北部赛区（北京）赛后的相关判例也已于bilibili符文战场官方账号和符文",,20-24
1111662951442415632-03,第一赛季区域公开赛-重庆站赛后判例,1111662951442415632,2025-09-12,常见问题与解答,"Q：在战斗结算时，场上我方存在战力为8（【无极剑圣（入门）】提供战力+2）的【易（锋芒毕现）】，场上对手存在1名战力为1的【警觉的哨兵】1名战力为2的【忠实的工坊主】以及1名战力为5的【艾克（溯时洄光）】。我能否给对手的【忠实的工坊主】分配8点伤害,从而不摧毁对手的【警觉的哨兵】和【艾克（溯时洄光）】？","A：不可以，你不可以对单位分配超过其战力的伤害（战力为“0""的单位除外)。",OGS-019、OGS-009、OGN-096、OGN-211、OGN-110,28-34
1111662951442415632-04,第一赛季区域公开赛-重庆站赛后判例,1111662951442415632,2025-09-12,常见问题与解答,Q：本回合中，我打出了【帝国谕令】，在战斗结算时，我方场上有1名战力为3的【先锋队长】，对手场上存在3名战力为8的【苍炎守护者】，我能否给每名【苍炎守护者】分配1点伤害，从而将3名【苍炎守护者】全部摧毁？,A：不可以。,OGN-221、OGN-218、OGN-082,28-34
1111662951442415632-05,第一赛季区域公开赛-重庆站赛后判例,1111662951442415632,2025-09-12,常见问题与解答,Q：奇亚娜的“当我征服一处战场时”效果，抽牌与召出休眠符文的选择，是在触发时进行，还是在结算时进行？,A：结算时。,,35-37
1114291471444344833-01,第一赛季区域公开赛-杭州站赛后判例,1114291471444344833,2025-09-19,,Q：（）,A：广杭州,,0-0
1114291471444344833-02,第一赛季区域公开赛-杭州站赛后判例,1114291471444344833,2025-09-19,赛事处罚,Q：利用规则,"A：玩家利用规则引诱对手犯错将会受到判罚。玩家应在游戏错误产生的第一时间提醒对手或呼叫裁判,若试图利用对手
的错误造成更严重的游戏错误从而使对手受到严重判罚则会受到警告及以上的判罚。若此违规多次出现，将受到取消
比赛资格及以上的判罚",,0-0
1114291471444344833-03,第一赛季区域公开赛-杭州站赛后判例,1114291471444344833,2025-09-19,常见问题与解答,"Q：【提莫（军事家）】从待命形式打出时,是否能够触发其触发式技能？ 的五张牌。当中每有一张带有【待命】技能的卡牌，就对该单位造成1点伤害，然后将展示的牌回收。 【闪耀极光】【亡花掠食者】【苍炎守护者】","A：不可以，,根据最新官方FAQ的内容，【提莫（军事家）】已修订为：当我防守时，选择名此处的敌方单位，展示你主牌堆顶部",OGN-121、OGN-160、OGN-161、OGN-082,0-0
1114291471444344833-04,第一赛季区域公开赛-杭州站赛后判例,1114291471444344833,2025-09-19,常见问题与解答,Q：当我的场上存在2张【闪耀极光】时，回合结束，2张【闪耀极光】分别展出【亡花掠食者】和【苍炎守护者】，假设对手不做出任何动作，将会发生什么？,"A：当你的回合结束时,2张【闪耀极光】的效果被触发。它们均被加入结算链。
结算第一张【闪耀极光】的效果，展示出【亡花掠食者】，【亡花掠食者】被放入放逐区，然后进行将其打出的第一步一放置到结算链待处理，并在此暂停。
继续第一张【闪耀极光】的结算，回收展示的卡牌。
完成结算链最新效果【亡花掠食者】的打出，你可以选择将其打出到敌方控制的战场。如果你这样做了，此战场将在【亡花掠食者】打出后的清理中标记为“战斗待结算”。战斗将在下一次普通开环状态下的清理中开启。
同理，触发第三张【闪耀极光】的效果并结算，直至打出【苍炎守护者】。
此时战场中虽然有我方的【亡花掠食者】，但这并非你控制的战场，故【苍炎守护者】只能打出到基地。
根据《核心规则》543.2.b,此时结算链被关闭，出现普通开环状态。
在【苍炎守护者】打出完成的清理中，战斗开启。
此时触发【苍炎守护者】的打出时效果,将其添加到新的结算链上。
结算当前结算上的效果，直至回到法术对决开环状态，处理完成。",OGN-160、OGN-161、OGN-082,0-0
1134645362212995072-01,第一赛季全国公开赛（上海）赛后判例,1134645362212995072,2025-11-13,赛事处罚,Q：在对局中丢失卡牌,"A：当玩家于对局过程中发现丢失卡牌(即主牌堆不足39张/符文牌堆不足12张)，需与对手确认游戏开始时牌
堆数量正确。若无法与对手就游戏开始时牌堆数量的问题达成一致，该丢失卡牌的情况，将视为卡组与提交
的卡组表不一致,给与单局判负判罚。
并由当值裁判计时,若于2分钟内找回遗失卡牌，将视为迟到,给与警告判罚。并由当值裁判完成随机化处
理后继续游戏。
若于2分钟以上10分钟以下找回遗失卡牌，将视为本局缺席，给与单局判负判罚。
若于10分钟以上仍未找回遗失卡牌，将视为本轮缺席，给与单轮判负判罚。
*裁判组温馨提示:建议玩家于对局开始前及比赛结束后，与对手确认已方牌堆数量，如有异常及时呼叫裁判协助
处理，避免因此种情况导致的判罚。",,0-0
1134645362212995072-02,第一赛季全国公开赛（上海）赛后判例,1134645362212995072,2025-11-13,卡组检查,Q：透明卡套,"A：《赛事规则》中明确要求，玩家使用的卡套不应为透明。当玩家在对局中被发现主牌堆/符文牌堆使用透明卡套时
当值裁判将给与单局判负判罚，并要求玩家更换卡套以继续比赛。",,0-0
1134645362212995072-03,第一赛季全国公开赛（上海）赛后判例,1134645362212995072,2025-11-13,常见问题与解答,Q：若我选择摧毁此装备，是否可以从废牌堆中再将它回收?,"A：不可以。最新《核心规则》中明确了激活主动技能及目标选择的相关内容。
宣告激活主动技能后，与打出卡牌相似,需先做出选择，后支付费用。选择时【未来熔炉】尚未作为费用被摧毁以进入废牌堆，故无法选择其为目标。",OGN-212,37-41
